Pop,Theta,samplingSize,n.seg.sites
2,ten,128,49
2,ten,128,57
2,ten,128,52
2,ten,128,47
2,ten,128,44
2,ten,128,53
2,ten,128,52
2,ten,128,49
2,ten,128,49
2,ten,128,49
2,ten,128,44
2,ten,128,51
2,ten,128,54
2,ten,128,47
2,ten,128,53
2,ten,128,44
2,ten,128,46
2,ten,128,55
2,ten,128,48
2,ten,128,51
2,ten,128,47
2,ten,128,49
2,ten,128,50
2,ten,128,49
2,ten,128,50
2,ten,128,50
2,ten,128,51
2,ten,128,45
2,ten,128,54
2,ten,128,53
2,ten,128,47
2,ten,128,50
2,ten,128,51
2,ten,128,49
2,ten,128,48
2,ten,128,46
2,ten,128,51
2,ten,128,52
3,twenty,2,60
3,twenty,2,12
3,twenty,2,62
3,twenty,2,13
3,twenty,2,64
3,twenty,2,3
3,twenty,2,5
3,twenty,2,64
3,twenty,2,60
3,twenty,2,61
3,twenty,2,12
3,twenty,2,18
3,twenty,2,61
3,twenty,2,60
3,twenty,2,15
3,twenty,2,4
3,twenty,2,3
3,twenty,2,65
3,twenty,2,65
3,twenty,2,19
3,twenty,2,58
3,twenty,2,14
3,twenty,2,0
3,twenty,2,60
3,twenty,2,62
3,twenty,2,3
3,twenty,2,15
3,twenty,2,19
3,twenty,2,10
3,twenty,2,17
3,twenty,2,11
3,twenty,2,14
3,twenty,2,62
3,twenty,2,18
3,twenty,2,60
3,twenty,2,11
3,twenty,2,12
3,twenty,2,0
3,twenty,2,62
3,twenty,2,59
3,twenty,2,10
3,twenty,2,59
3,twenty,2,14
3,twenty,2,61
3,twenty,2,13
3,twenty,2,19
3,twenty,2,16
3,twenty,2,65
3,twenty,2,13
3,twenty,2,4
3,twenty,2,1
3,twenty,2,62
3,twenty,2,14
3,twenty,2,59
3,twenty,2,4
3,twenty,2,58
3,twenty,2,62
3,twenty,2,61
3,twenty,2,22
3,twenty,2,14
3,twenty,2,18
3,twenty,2,62
3,twenty,2,13
3,twenty,2,61
3,twenty,2,61
3,twenty,2,61
3,twenty,2,60
3,twenty,2,60
3,twenty,2,2
3,twenty,2,62
3,twenty,2,62
3,twenty,2,61
3,twenty,2,4
3,twenty,2,60
3,twenty,2,60
3,twenty,2,62
3,twenty,2,11
3,twenty,2,3
3,twenty,2,59
3,twenty,2,11
3,twenty,2,61
3,twenty,2,65
3,twenty,2,59
3,twenty,2,4
3,twenty,2,62
3,twenty,2,0
3,twenty,2,0
3,twenty,2,67
3,twenty,2,3
3,twenty,2,18
3,twenty,2,61
3,twenty,2,3
3,twenty,2,3
3,twenty,2,3
3,twenty,2,4
3,twenty,2,0
3,twenty,2,65
3,twenty,2,4
3,twenty,2,61
3,twenty,2,1
3,twenty,4,67
3,twenty,4,19
3,twenty,4,24
3,twenty,4,18
3,twenty,4,73
3,twenty,4,26
3,twenty,4,72
3,twenty,4,72
3,twenty,4,71
3,twenty,4,67
3,twenty,4,26
